CRAWL_TS,COUNTRY_VAL,PARTNER,PRODUCT_NAME_VAL,MONTHLY_INSTALMENT_AMT,INSTALMENT_MONTH
2025-10-02T17:09:19Z,Australia,Partner A,iPhone 15 Pro Max 512GB,58.29,36
2025-10-02T17:09:31Z,Australia,Partner A,iP 17 PM 512GB,72.19,36
2025-10-02T17:09:40Z,Australia,Partner A,iPhone Air 256GB,149.91,12
2025-10-02T17:10:17Z,Australia,Partner A,iPad (A16) 128GB,23.58,36
2025-10-02T17:10:26Z,Australia,Partner A,iP 17 PM 1TB,124.95,24
2025-10-02T17:10:27Z,Australia,Partner A,iPhone 15 Pro Max 512GB,58.29,36
2025-10-02T17:10:37Z,Australia,Partner A,iPad (A16) 256GB,43.7,24
2025-10-02T17:11:08Z,Australia,Partner A,iPhone 15 Pro Max 256GB,170.75,12
2025-10-02T17:11:43Z,Australia,Partner A,iPad Air 11-inch (M3) 128GB,34.69,36
2025-10-02T17:11:56Z,Australia,Partner A,iP 17 PM 256GB,183.25,12
2025-10-02T17:11:59Z,Australia,Partner A,iPhone 17 Pro 1TB,233.25,12
2025-10-02T17:12:12Z,Australia,Partner A,iPhone 17 Pro 512GB,199.91,12
2025-10-02T17:12:14Z,Australia,Partner A,iPhone 16 256GB,120.75,12
2025-10-02T17:12:30Z,Australia,Partner A,iPad Air 11-inch (M3) 256GB,40.25,36
2025-10-02T17:12:48Z,Australia,Partner A,iPhone 17 Pro 256GB,166.58,12
2025-10-02T17:13:06Z,Australia,Partner A,iPhone 15 Pro Max 1TB,68.02,36
2025-10-02T17:13:14Z,Australia,Partner A,iP15P 128,38.85,36
2025-10-02T17:13:24Z,Australia,Partner A,iPad (A16) 128GB,35.37,24
2025-10-02T17:13:28Z,Australia,Partner A,iPhone 17 Pro 1TB,116.62,24
2025-10-02T17:13:30Z,Australia,Partner A,iPhone 15 Pro 256GB,66.62,24
2025-10-02T17:13:31Z,Australia,Partner A,iPad Air 13-inch (M3) 256GB,74.95,24
2025-10-02T17:13:32Z,Australia,Partner A,iPhone 15 Pro 256GB,158.25,12
2025-10-02T17:13:52Z,Australia,Partner A,iPhone 17 Pro 256GB,83.29,24
2025-10-02T17:14:02Z,Australia,Partner A,iPhone 15 Pro Max 1TB,229.08,12
2025-10-02T17:14:15Z,Australia,Partner A,iPhone 16 512GB,49.97,36
2025-10-02T17:14:24Z,Australia,Partner A,iP 17 PM 512GB,72.19,36
2025-10-02T17:14:27Z,Australia,Partner A,iPhone 17 Pro 1TB,77.75,36
2025-10-02T17:14:28Z,Australia,Partner A,iPhone 15 Pro 512GB,81.2,24
2025-10-02T17:14:28Z,Australia,Partner A,iPad (A16) 256GB,29.13,36
2025-10-02T17:14:28Z,Australia,Partner A,iPhone 16e 256GB,33.3,36
2025-10-02T17:14:31Z,Australia,Partner A,iPhone 15 Pro 512GB,54.13,36
2025-10-02T17:14:36Z,Australia,Partner A,iPhone Air 512GB,183.25,12
2025-10-02T17:14:37Z,Australia,Partner A,iPhone 15 Pro Max 1TB,68.02,36
2025-10-02T17:14:38Z,Australia,Partner A,iPhone 16 128GB,104.08,12
2025-10-02T17:14:42Z,Australia,Partner A,iPad (A16) 256GB,87.41,12
2025-10-02T17:14:43Z,Australia,Partner A,iPhone 15 Pro Max 1TB,229.08,12
2025-10-02T17:14:46Z,Australia,Partner A,iPad mini (A17 Pro) 128GB,43.7,24
