Product Category,Product Short Description,Product Long Description,Product ID,,,,,
iPad,iPad (A16) Cell,IPAD WF CL 128GB PNK,1,,,,,
iPad,iPad Air 11in (M3) Cell,IPAD AIR 11 WF CL 128GB PUR,2,,,,,
iPhone,iPhone 17 256GB,IPHONE 17 BLACK 256GB,3,,,,,
iPhone,iPhone 17 Pro Max 2TB,IPHONE 17 PRO MAX SILVER 2TB,4,,,,,
iPhone,iPhone 17 Pro Max 1TB,IPHONE 17 PRO MAX CORANGE 1TB,5,,,,,
iPad,iPad Mini (A17 Pro) Cell,IPAD MINI WI-FI CL 128GB STARLIGHT,6,,,,, 
AirPods,AirPods (3rd Gen) Wired,AIRPODS 3RD GN,7,,,,,
iPhone,iPhone 16e 128GB,IPHONE 16E WHT 128GB,8,,,,,
iPhone,iPhone 17 Pro 512GB,IPHONE 17 PRO CORANGE 512GB,9,,,,,
AirPods,AirPods (4th Gen) non-ANC,AIRPODS 4 ,10,,,,,
iPad,iPad (A16) Cell,IPAD WF CL 128GB YLW,11,,,,,
iPad,iPad Air 13in (M3) Cell,IPAD AIR 13 WF CL 128GB STL,12,,,,,
iPad,iPad Mini (A17 Pro) Cell,IPAD MINI WI-FI CL 128GB SPACE GRAY,13,,,,,
iPhone,iPhone Air 512GB,IPHONE AIR CLOUD WHITE 512GB,14,,,,,
iPad,iPad (A16) Cell,IPAD WF CL 256GB YLW,15,,,,,
iPad,iPad Mini (A17 Pro) Cell,IPAD MINI WI-FI CL 128GB PURP,16,,,,,
iPhone,iPhone Air 1TB,IPHONE AIR SPACE BLACK 1TB,17,,,,,
iPhone,iPhone Air 512GB,IPHONE AIR SPACE BLACK 512GB,18,,,,,
iPhone,iPhone 17 Pro 256GB,IPHONE 17 PRO DEEP BLUE 256GB,19,,,,,
iPad,iPad (A16) Cell,IPAD WF CL 256GB BLU,20,,,,,
iPad,iPad (A16) Cell,IPAD WF CL 256GB PNK,21,,,,,
iPhone,iPhone Air 512GB,IPHONE AIR LIGHT GOLD 512GB,22,,,,,
iPhone,iPhone 16e 128GB,IPHONE 16E BLK 128GB,23,,,,,
iPhone,iPhone 17 Pro Max 256GB,IPHONE 17 PRO MAX CORG 256GB,24,,,,,
iPhone,iPhone 17 512GB,IPHONE 17 LAVENDER 512GB,25,,,,,
iPhone,iPhone Air 1TB,IPHONE AIR SKY BLUE 1TB,26,,,,,
iPhone,iPhone 17 Pro 512GB,IPHONE 17 PRO DEEP BLUE 512GB,27,,,,,
iPad,iPad Air 11in (M3) Cell,IPAD AIR 11 WF CL 256GB PUR,28,,,,,
iPhone,iPhone 16e 512GB,IPHONE 16E BLK 512GB,29,,,,,
iPhone,iPhone 17 256GB,IPHONE 17 LAVENDER 256GB,30,,,,,
iPhone,iPhone 17 Pro 1TB,IPHONE 17 PRO CORANGE 1TB,31,,,,,
iPad,iPad Air 11in (M3) Cell,IPAD AIR 11 WF CL 256GB BLU,32,,,,,
iPad,iPad (A16) Cell,IPAD WF CL 256GB SLV,33,,,,,
iPhone,iPhone Air 512GB,IPHONE AIR SKY BLUE 512GB,34,,,,,
iPad,iPad Air 13in (M3) Cell,IPAD AIR 13 WF CL 256GB BLU,35,,,,,
iPad,iPad Mini (A17 Pro) Cell,IPAD MINI WI-FI CL 128GB BLUE,36,,,,,
iPhone,iPhone 17 Pro 256GB,IPHONE 17 PRO CORANGE 256GB,37,,,,,
iPad,iPad Air 11in (M3) Cell,IPAD AIR 11 WF CL 256GB SPG,38,,,,,
iPhone,iPhone 16e 512GB,IPHONE 16E WHT 512GB,39,,,,,
iPhone,iPhone 17 512GB,IPHONE 17 WHITE 512GB,40,,,,,
iPhone,iPhone Air 256GB,IPHONE AIR SKY BLUE 256GB,41,,,,,
iPhone,iPhone 17 Pro Max 512GB,IPHONE 17 PRO MAX CORG 512GB,42,,,,,
iPhone,iPhone 17 Pro Max 256GB,IPHONE 17 PRO MAX SILVER 256GB,43,,,,,
iPhone,iPhone 17 256GB,IPHONE 17 MIST BLUE 256GB,44,,,,,
iPad,iPad Pro 13in (M5) Cell,IPAD PRO 13 WF CL 512GB SLVR,45,,,,,
iPhone,iPhone 17 512GB,IPHONE 17 SAGE 512GB,46,,,,,
iPad,iPad Air 13in (M3) Cell,IPAD AIR 13 WF CL 256GB PUR,47,,,,,
iPad,iPad Air 13in (M3) Cell,IPAD AIR 13 WF CL 256GB STL,48,,,,,
iPhone,iPhone 17 Pro Max 2TB,IPHONE 17 PRO MAX DBLUE 2TB,49,,,,,
iPad,iPad Pro 11in (M5) Cell,IPAD PRO 11 WF CL 256GB SLVR,50,,,,,
iPhone,iPhone 17 256GB,IPHONE 17 SAGE 256GB,51,,,,,
iPhone,iPhone 17 Pro Max 256GB,IPHONE 17 PRO MAX DBLUE 256GB,52,,,,,
iPad,iPad Air 13in (M3) Cell,IPAD AIR 13 WF CL 128GB PUR,53,,,,,
iPhone,iPhone 17 Pro Max 1TB,IPHONE 17 PRO MAX DBLUE 1TB,54,,,,,
iPhone,iPhone 16 128GB,IPHONE 16 BLK 128GB,55,,,,,
iPhone,iPhone Air 256GB,IPHONE AIR CLOUD WHITE 256GB,56,,,,,
iPhone,iPhone 16e 256GB,IPHONE 16E BLK 256GB,57,,,,,
iPad,iPad Pro 11in (M5) Cell,IPAD PRO 11 WF CL 512GB SLVR,58,,,,,
iPhone,iPhone 17 Pro 256GB,IPHONE 17 PRO SILVER 256GB,59,,,,,
iPhone,iPhone 17 Pro Max 512GB,IPHONE 17 PRO MAX DBLUE 512GB,60,,,,,
iPad,iPad (A16) Cell,IPAD WF CL 128GB SLV,61,,,,,
iPad,iPad Air 11in (M3) Cell,IPAD AIR 11 WF CL 128GB SPG,62,,,,,
iPad,iPad Air 11in (M3) Cell,IPAD AIR 11 WF CL 256GB STL,63,,,,,
iPhone,iPhone 17 512GB,IPHONE 17 BLACK 512GB,64,,,,,
AirPods,AirPods (4th Gen) ANC,AIRPODS 4 (ANC),65,,,,,
AirPods,AirPods Pro (2nd Gen),"AIRPODS PRO,GEN 2C",66,,,,,
iPhone,iPhone 17 Pro 1TB,IPHONE 17 PRO SILVER 1TB,67,,,,,
iPhone,iPhone Air 1TB,IPHONE AIR LIGHT GOLD 1TB,68,,,,,
iPhone,iPhone Air 1TB,IPHONE AIR CLOUD WHITE 1TB,69,,,,,
iPhone,iPhone 16e 256GB,IPHONE 16E WHT 256GB,70,,,,,
iPhone,iPhone 17 256GB,IPHONE 17 WHITE 256GB,71,,,,,
iPad,iPad Pro 11in (M5) Cell,IPAD PRO 11 WF CL 512GB SBLK,72,,,,,
iPhone,iPhone Air 256GB,IPHONE AIR SPACE BLACK 256GB,73,,,,,
iPad,iPad Air 13in (M3) Cell,IPAD AIR 13 WF CL 128GB SPG,74,,,,,
iPad,iPad Pro 13in (M5) Cell,IPAD PRO 13 WF CL 512GB SBLK,75,,,,,
iPhone,iPhone 17 Pro Max 1TB,IPHONE 17 PRO MAX SILVER 1TB,76,,,,,
iPhone,iPhone 17 512GB,IPHONE 17 MIST BLUE 512GB,77,,,,,
iPad,iPad Pro 13in (M5) Cell,IPAD PRO 13 WF CL 256GB SBLK,78,,,,,
iPad,iPad Air 13in (M3) Cell,IPAD AIR 13 WF CL 128GB BLU,79,,,,,
iPad,iPad Air 11in (M3) Cell,IPAD AIR 11 WF CL 128GB BLU,80,,,,,
